stock_code,trade_date,col_participant_id,col_participant_name,col_shareholding,col_shareholding_percent
603883.SH,20240118,,HONG KONG SECURITIES CLEARING CO. LTD.,13,0.0
603883.SH,20240118,B01110,J.P. MORGAN BROKING (HONG KONG) LTD,171820,0.02
603883.SH,20240118,B01130,BOCI SECURITIES LTD,100,0.0
603883.SH,20240118,B01161,UBS SECURITIES HONG KONG LTD,517515,0.08
603883.SH,20240118,B01183,CHONG HING SECURITIES LTD,780,0.0
603883.SH,20240118,B01224,MERRILL LYNCH FAR EAST LTD,536811,0.09
603883.SH,20240118,B01274,MORGAN STANLEY HONG KONG SECURITIES LTD,1092217,0.18
603883.SH,20240118,B01284,HANG SENG SECURITIES LTD,12500,0.0
603883.SH,20240118,B01345,PHILLIP SECURITIES (HONG KONG) LTD,130,0.0
603883.SH,20240118,B01451,GOLDMAN SACHS (ASIA) SECURITIES LTD,2270715,0.38
603883.SH,20240118,B01590,INTERACTIVE BROKERS HONG KONG LTD,1899,0.0
603883.SH,20240118,B01654,CHINA INTERNATIONAL CAPITAL CORPORATION,22952,0.0
603883.SH,20240118,B01668,BRIGHT SMART SECURITIES INTERNATIONAL,2140,0.0
603883.SH,20240118,B01943,PO SANG SECURITIES LTD,5394,0.0
603883.SH,20240118,B01955,FUTU SECURITIES INTERNATIONAL,5690,0.0
603883.SH,20240118,B02091,STAR RIVER SECURITIES LTD,620,0.0
603883.SH,20240118,C00010,CITIBANK N.A.,6953807,1.19
603883.SH,20240118,C00019,THE HONGKONG AND SHANGHAI BANKING,18018498,3.09
603883.SH,20240118,C00033,BANK OF CHINA (HONG KONG) LTD,92370,0.01
603883.SH,20240118,C00039,STANDARD CHARTERED BANK (HONG KONG) LTD,5537262,0.95
603883.SH,20240118,C00093,BNP PARIBAS,19927684,3.42
603883.SH,20240118,C00100,"JPMORGAN CHASE BANK, NATIONAL",2871240,0.49
