stock_code,trade_date,col_participant_id,col_participant_name,col_shareholding,col_shareholding_percent
603883.SH,20230927,,HONG KONG SECURITIES CLEARING CO. LTD.,13,0.0
603883.SH,20230927,B01110,J.P. MORGAN BROKING (HONG KONG) LTD,1137780,0.19
603883.SH,20230927,B01138,CLSA LTD,119248,0.02
603883.SH,20230927,B01161,UBS SECURITIES HONG KONG LTD,2215255,0.38
603883.SH,20230927,B01183,CHONG HING SECURITIES LTD,780,0.0
603883.SH,20230927,B01224,MERRILL LYNCH FAR EAST LTD,988675,0.16
603883.SH,20230927,B01274,MORGAN STANLEY HONG KONG SECURITIES LTD,1796812,0.3
603883.SH,20230927,B01345,PHILLIP SECURITIES (HONG KONG) LTD,130,0.0
603883.SH,20230927,B01451,GOLDMAN SACHS (ASIA) SECURITIES LTD,2593988,0.44
603883.SH,20230927,B01590,INTERACTIVE BROKERS HONG KONG LTD,1999,0.0
603883.SH,20230927,B01654,CHINA INTERNATIONAL CAPITAL CORPORATION,154397,0.02
603883.SH,20230927,B01668,BRIGHT SMART SECURITIES INTERNATIONAL,2140,0.0
603883.SH,20230927,B01943,PO SANG SECURITIES LTD,9394,0.0
603883.SH,20230927,B01955,FUTU SECURITIES INTERNATIONAL,5690,0.0
603883.SH,20230927,B02091,STAR RIVER SECURITIES LTD,620,0.0
603883.SH,20230927,C00010,CITIBANK N.A.,980116,0.16
603883.SH,20230927,C00019,THE HONGKONG AND SHANGHAI BANKING,21673941,3.72
603883.SH,20230927,C00033,BANK OF CHINA (HONG KONG) LTD,13270,0.0
603883.SH,20230927,C00039,STANDARD CHARTERED BANK (HONG KONG) LTD,5394309,0.92
603883.SH,20230927,C00093,BNP PARIBAS,8020692,1.37
603883.SH,20230927,C00100,"JPMORGAN CHASE BANK, NATIONAL",10328219,1.77
603883.SH,20230927,C00111,SOCIETE GENERALE,275400,0.04
