stock_code,trade_date,col_participant_id,col_participant_name,col_shareholding,col_shareholding_percent
603883.SH,20240228,,HONG KONG SECURITIES CLEARING CO. LTD.,13,0.0
603883.SH,20240228,B01110,J.P. MORGAN BROKING (HONG KONG) LTD,2185305,0.37
603883.SH,20240228,B01130,BOCI SECURITIES LTD,100,0.0
603883.SH,20240228,B01138,CLSA LTD,1800,0.0
603883.SH,20240228,B01161,UBS SECURITIES HONG KONG LTD,402898,0.06
603883.SH,20240228,B01183,CHONG HING SECURITIES LTD,780,0.0
603883.SH,20240228,B01224,MERRILL LYNCH FAR EAST LTD,661811,0.11
603883.SH,20240228,B01228,CITIC SECURITIES BROKERAGE (HK) LTD,5000,0.0
603883.SH,20240228,B01274,MORGAN STANLEY HONG KONG SECURITIES LTD,555586,0.09
603883.SH,20240228,B01284,HANG SENG SECURITIES LTD,12500,0.0
603883.SH,20240228,B01345,PHILLIP SECURITIES (HONG KONG) LTD,130,0.0
603883.SH,20240228,B01451,GOLDMAN SACHS (ASIA) SECURITIES LTD,764186,0.13
603883.SH,20240228,B01590,INTERACTIVE BROKERS HONG KONG LTD,1899,0.0
603883.SH,20240228,B01654,CHINA INTERNATIONAL CAPITAL CORPORATION,46652,0.0
603883.SH,20240228,B01668,BRIGHT SMART SECURITIES INTERNATIONAL,2140,0.0
603883.SH,20240228,B01943,PO SANG SECURITIES LTD,5394,0.0
603883.SH,20240228,B01955,FUTU SECURITIES INTERNATIONAL,5690,0.0
603883.SH,20240228,B02091,STAR RIVER SECURITIES LTD,620,0.0
603883.SH,20240228,C00010,CITIBANK N.A.,6559140,1.12
603883.SH,20240228,C00019,THE HONGKONG AND SHANGHAI BANKING,17207169,2.95
603883.SH,20240228,C00033,BANK OF CHINA (HONG KONG) LTD,92370,0.01
603883.SH,20240228,C00039,STANDARD CHARTERED BANK (HONG KONG) LTD,5393162,0.92
603883.SH,20240228,C00093,BNP PARIBAS,20196220,3.46
603883.SH,20240228,C00100,"JPMORGAN CHASE BANK, NATIONAL",2877738,0.49
