stock_code,trade_date,col_participant_id,col_participant_name,col_shareholding,col_shareholding_percent
603883.SH,20240209,,HONG KONG SECURITIES CLEARING CO. LTD.,13,0.0
603883.SH,20240209,B01110,J.P. MORGAN BROKING (HONG KONG) LTD,200520,0.03
603883.SH,20240209,B01130,BOCI SECURITIES LTD,100,0.0
603883.SH,20240209,B01138,CLSA LTD,3500,0.0
603883.SH,20240209,B01161,UBS SECURITIES HONG KONG LTD,512450,0.08
603883.SH,20240209,B01183,CHONG HING SECURITIES LTD,780,0.0
603883.SH,20240209,B01224,MERRILL LYNCH FAR EAST LTD,1038845,0.17
603883.SH,20240209,B01274,MORGAN STANLEY HONG KONG SECURITIES LTD,910546,0.15
603883.SH,20240209,B01284,HANG SENG SECURITIES LTD,12500,0.0
603883.SH,20240209,B01345,PHILLIP SECURITIES (HONG KONG) LTD,130,0.0
603883.SH,20240209,B01451,GOLDMAN SACHS (ASIA) SECURITIES LTD,797136,0.13
603883.SH,20240209,B01590,INTERACTIVE BROKERS HONG KONG LTD,1899,0.0
603883.SH,20240209,B01654,CHINA INTERNATIONAL CAPITAL CORPORATION,100152,0.01
603883.SH,20240209,B01668,BRIGHT SMART SECURITIES INTERNATIONAL,2140,0.0
603883.SH,20240209,B01943,PO SANG SECURITIES LTD,5394,0.0
603883.SH,20240209,B01955,FUTU SECURITIES INTERNATIONAL,5690,0.0
603883.SH,20240209,B02091,STAR RIVER SECURITIES LTD,620,0.0
603883.SH,20240209,C00010,CITIBANK N.A.,6572349,1.12
603883.SH,20240209,C00019,THE HONGKONG AND SHANGHAI BANKING,18316320,3.14
603883.SH,20240209,C00033,BANK OF CHINA (HONG KONG) LTD,92370,0.01
603883.SH,20240209,C00039,STANDARD CHARTERED BANK (HONG KONG) LTD,5400962,0.92
603883.SH,20240209,C00093,BNP PARIBAS,22205047,3.81
603883.SH,20240209,C00100,"JPMORGAN CHASE BANK, NATIONAL",2877738,0.49
