stock_code,trade_date,col_participant_id,col_participant_name,col_shareholding,col_shareholding_percent
603883.SH,20231129,,HONG KONG SECURITIES CLEARING CO. LTD.,13,0.0
603883.SH,20231129,B01110,J.P. MORGAN BROKING (HONG KONG) LTD,199822,0.03
603883.SH,20231129,B01138,CLSA LTD,2848,0.0
603883.SH,20231129,B01161,UBS SECURITIES HONG KONG LTD,173733,0.02
603883.SH,20231129,B01183,CHONG HING SECURITIES LTD,780,0.0
603883.SH,20231129,B01224,MERRILL LYNCH FAR EAST LTD,1257261,0.21
603883.SH,20231129,B01274,MORGAN STANLEY HONG KONG SECURITIES LTD,3871534,0.66
603883.SH,20231129,B01345,PHILLIP SECURITIES (HONG KONG) LTD,130,0.0
603883.SH,20231129,B01353,UOB KAY HIAN (HONG KONG) LTD,29000,0.0
603883.SH,20231129,B01451,GOLDMAN SACHS (ASIA) SECURITIES LTD,1643823,0.28
603883.SH,20231129,B01590,INTERACTIVE BROKERS HONG KONG LTD,31899,0.0
603883.SH,20231129,B01654,CHINA INTERNATIONAL CAPITAL CORPORATION,28992,0.0
603883.SH,20231129,B01668,BRIGHT SMART SECURITIES INTERNATIONAL,2140,0.0
603883.SH,20231129,B01824,INSTINET PACIFIC LTD,79100,0.01
603883.SH,20231129,B01943,PO SANG SECURITIES LTD,5394,0.0
603883.SH,20231129,B01955,FUTU SECURITIES INTERNATIONAL,5690,0.0
603883.SH,20231129,B02091,STAR RIVER SECURITIES LTD,620,0.0
603883.SH,20231129,C00010,CITIBANK N.A.,4216858,0.72
603883.SH,20231129,C00019,THE HONGKONG AND SHANGHAI BANKING,18902723,3.24
603883.SH,20231129,C00033,BANK OF CHINA (HONG KONG) LTD,13270,0.0
603883.SH,20231129,C00039,STANDARD CHARTERED BANK (HONG KONG) LTD,5279492,0.9
603883.SH,20231129,C00093,BNP PARIBAS,19304515,3.31
603883.SH,20231129,C00100,"JPMORGAN CHASE BANK, NATIONAL",3032740,0.52
