stock_code,trade_date,col_participant_id,col_participant_name,col_shareholding,col_shareholding_percent
603883.SH,20230904,,HONG KONG SECURITIES CLEARING CO. LTD.,13,0.0
603883.SH,20230904,B01110,J.P. MORGAN BROKING (HONG KONG) LTD,1374182,0.23
603883.SH,20230904,B01138,CLSA LTD,69730,0.01
603883.SH,20230904,B01161,UBS SECURITIES HONG KONG LTD,3534228,0.6
603883.SH,20230904,B01183,CHONG HING SECURITIES LTD,780,0.0
603883.SH,20230904,B01224,MERRILL LYNCH FAR EAST LTD,682580,0.11
603883.SH,20230904,B01274,MORGAN STANLEY HONG KONG SECURITIES LTD,2421506,0.41
603883.SH,20230904,B01345,PHILLIP SECURITIES (HONG KONG) LTD,130,0.0
603883.SH,20230904,B01451,GOLDMAN SACHS (ASIA) SECURITIES LTD,2076494,0.35
603883.SH,20230904,B01590,INTERACTIVE BROKERS HONG KONG LTD,1899,0.0
603883.SH,20230904,B01654,CHINA INTERNATIONAL CAPITAL CORPORATION,179675,0.03
603883.SH,20230904,B01668,BRIGHT SMART SECURITIES INTERNATIONAL,2140,0.0
603883.SH,20230904,B01943,PO SANG SECURITIES LTD,9394,0.0
603883.SH,20230904,B01955,FUTU SECURITIES INTERNATIONAL,5690,0.0
603883.SH,20230904,B02091,STAR RIVER SECURITIES LTD,620,0.0
603883.SH,20230904,C00010,CITIBANK N.A.,1107994,0.19
603883.SH,20230904,C00019,THE HONGKONG AND SHANGHAI BANKING,18847606,3.23
603883.SH,20230904,C00033,BANK OF CHINA (HONG KONG) LTD,13270,0.0
603883.SH,20230904,C00039,STANDARD CHARTERED BANK (HONG KONG) LTD,5936988,1.01
603883.SH,20230904,C00093,BNP PARIBAS,3880207,0.66
603883.SH,20230904,C00100,"JPMORGAN CHASE BANK, NATIONAL",11072595,1.9
603883.SH,20230904,C00111,SOCIETE GENERALE,263200,0.04
