stock_code,trade_date,col_participant_id,col_participant_name,col_shareholding,col_shareholding_percent
603883.SH,20240225,,HONG KONG SECURITIES CLEARING CO. LTD.,13,0.0
603883.SH,20240225,B01110,J.P. MORGAN BROKING (HONG KONG) LTD,2359361,0.4
603883.SH,20240225,B01130,BOCI SECURITIES LTD,100,0.0
603883.SH,20240225,B01138,CLSA LTD,2400,0.0
603883.SH,20240225,B01161,UBS SECURITIES HONG KONG LTD,411960,0.07
603883.SH,20240225,B01183,CHONG HING SECURITIES LTD,780,0.0
603883.SH,20240225,B01224,MERRILL LYNCH FAR EAST LTD,497514,0.08
603883.SH,20240225,B01228,CITIC SECURITIES BROKERAGE (HK) LTD,5000,0.0
603883.SH,20240225,B01274,MORGAN STANLEY HONG KONG SECURITIES LTD,571686,0.09
603883.SH,20240225,B01284,HANG SENG SECURITIES LTD,12500,0.0
603883.SH,20240225,B01345,PHILLIP SECURITIES (HONG KONG) LTD,130,0.0
603883.SH,20240225,B01451,GOLDMAN SACHS (ASIA) SECURITIES LTD,707086,0.12
603883.SH,20240225,B01590,INTERACTIVE BROKERS HONG KONG LTD,1899,0.0
603883.SH,20240225,B01654,CHINA INTERNATIONAL CAPITAL CORPORATION,49652,0.0
603883.SH,20240225,B01668,BRIGHT SMART SECURITIES INTERNATIONAL,2140,0.0
603883.SH,20240225,B01943,PO SANG SECURITIES LTD,5394,0.0
603883.SH,20240225,B01955,FUTU SECURITIES INTERNATIONAL,5690,0.0
603883.SH,20240225,B02091,STAR RIVER SECURITIES LTD,620,0.0
603883.SH,20240225,C00010,CITIBANK N.A.,6555940,1.12
603883.SH,20240225,C00019,THE HONGKONG AND SHANGHAI BANKING,18263820,3.13
603883.SH,20240225,C00033,BANK OF CHINA (HONG KONG) LTD,92370,0.01
603883.SH,20240225,C00039,STANDARD CHARTERED BANK (HONG KONG) LTD,5393162,0.92
603883.SH,20240225,C00093,BNP PARIBAS,20162720,3.46
603883.SH,20240225,C00100,"JPMORGAN CHASE BANK, NATIONAL",2877738,0.49
